 STN,YYYYMMDD,  FHX

  260,20180101,   90
  260,20180102,   80
  260,20180103,  120
  260,20180104,   90
  260,20180105,   60
  260,20180106,   40
  260,20180107,   70
  260,20180108,   70
  260,20180109,   60
  260,20180110,   40
  260,20180111,   30
  260,20180112,   20
  260,20180113,   50
  260,20180114,   50
  260,20180115,   90
  260,20180116,   70
  260,20180117,   80
  260,20180118,  140
  260,20180119,   50
  260,20180120,   40
  260,20180121,   50
  260,20180122,   50
  260,20180123,   70
  260,20180124,  100
  260,20180125,   50
  260,20180126,   30
  260,20180127,   80
  260,20180128,   70
  260,20180129,   80
  260,20180130,   40
  260,20180131,   80
  260,20180201,   50
  260,20180202,   50
  260,20180203,   50
  260,20180204,   80
  260,20180205,   60
  260,20180206,   50
  260,20180207,   40
  260,20180208,   40
  260,20180209,   70
  260,20180210,   70
  260,20180211,   80
  260,20180212,   60
  260,20180213,   70
  260,20180214,   70
  260,20180215,   70
  260,20180216,   40
  260,20180217,   30
  260,20180218,   30
  260,20180219,   40
  260,20180220,   40
  260,20180221,   40
  260,20180222,   70
  260,20180223,   80
  260,20180224,   80
  260,20180225,   70
  260,20180226,   70
  260,20180227,   40
  260,20180228,   90
  260,20180301,  110
  260,20180302,  110
  260,20180303,   60
  260,20180304,   70
  260,20180305,   50
  260,20180306,   30
  260,20180307,   50
  260,20180308,   80
  260,20180309,   50
  260,20180310,   50
  260,20180311,   60
  260,20180312,   50
  260,20180313,   60
  260,20180314,   60
  260,20180315,   80
  260,20180316,   80
  260,20180317,  110
  260,20180318,  100
  260,20180319,   70
  260,20180320,   80
  260,20180321,   50
  260,20180322,   50
  260,20180323,   70
  260,20180324,   40
  260,20180325,   40
  260,20180326,   30
  260,20180327,   70
  260,20180328,   50
  260,20180329,   50
  260,20180330,   70
  260,20180331,   30
  260,20180401,   30
  260,20180402,   60
  260,20180403,   70
  260,20180404,   60
  260,20180405,   70
  260,20180406,   90
  260,20180407,   60
  260,20180408,   30
  260,20180409,   50
  260,20180410,   50
  260,20180411,   40
  260,20180412,   40
  260,20180413,   40
  260,20180414,   30
  260,20180415,   30
  260,20180416,   50
  260,20180417,   60
  260,20180418,   30
  260,20180419,   60
  260,20180420,   40
  260,20180421,   40
  260,20180422,   50
  260,20180423,   60
  260,20180424,   70
  260,20180425,   80
  260,20180426,   70
  260,20180427,   40
  260,20180428,   60
  260,20180429,   70
  260,20180430,   70
  260,20180501,   80
  260,20180502,   70
  260,20180503,   40
  260,20180504,   50
  260,20180505,   60
  260,20180506,   50
  260,20180507,   40
  260,20180508,   40
  260,20180509,   40
  260,20180510,   50
  260,20180511,   30
  260,20180512,   40
  260,20180513,   40
  260,20180514,   50
  260,20180515,   60
  260,20180516,   80
  260,20180517,   60
  260,20180518,   40
  260,20180519,   30
  260,20180520,   40
  260,20180521,   60
  260,20180522,   40
  260,20180523,   50
  260,20180524,   50
  260,20180525,   40
  260,20180526,   40
  260,20180527,   50
  260,20180528,   40
  260,20180529,   40
  260,20180530,   40
  260,20180531,   60
  260,20180601,   40
  260,20180602,   40
  260,20180603,   40
  260,20180604,   50
  260,20180605,   40
  260,20180606,   40
  260,20180607,   40
  260,20180608,   30
  260,20180609,   40
  260,20180610,   50
  260,20180611,   60
  260,20180612,   40
  260,20180613,   50
  260,20180614,   60
  260,20180615,   30
  260,20180616,   50
  260,20180617,   50
  260,20180618,   60
  260,20180619,   40
  260,20180620,   50
  260,20180621,   70
