"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",35.068,"
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",124.596,"
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",133.669,"
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",142.569,"
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",141.85,"
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",154.696,"
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",130.136,"
"AUS,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",122.29,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",31.522,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",117.728,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",127.544,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",135.312,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",134.674,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",153.197,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",127.038,"
"AUS,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",123.546,"
"AUS,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",38.612,"
"AUS,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",131.551,"
"AUS,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",139.944,"
"AUS,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",150.021,"
"AUS,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",149.206,"
"AUS,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",156.26,"
