LOCATION,"INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
AUS,"EDUADULT","TRY","PC_25_64","A","2015",42.888756,
AUT,"EDUADULT","TRY","PC_25_64","A","2015",30.550726,
BEL,"EDUADULT","TRY","PC_25_64","A","2015",36.857422,
CAN,"EDUADULT","TRY","PC_25_64","A","2015",55.17366,
CZE,"EDUADULT","TRY","PC_25_64","A","2015",22.186741,
DNK,"EDUADULT","TRY","PC_25_64","A","2015",37.095581,
FIN,"EDUADULT","TRY","PC_25_64","A","2015",42.742619,
FRA,"EDUADULT","TRY","PC_25_64","A","2015",34.085361,
DEU,"EDUADULT","TRY","PC_25_64","A","2015",27.638235,
GRC,"EDUADULT","TRY","PC_25_64","A","2015",29.057495,
HUN,"EDUADULT","TRY","PC_25_64","A","2015",24.242552,
ISL,"EDUADULT","TRY","PC_25_64","A","2015",38.841152,
IRL,"EDUADULT","TRY","PC_25_64","A","2015",42.806118,
ITA,"EDUADULT","TRY","PC_25_64","A","2015",17.546457,
JPN,"EDUADULT","TRY","PC_25_64","A","2015",49.541573,
KOR,"EDUADULT","TRY","PC_25_64","A","2015",45.356678,
LUX,"EDUADULT","TRY","PC_25_64","A","2015",39.794865,
MEX,"EDUADULT","TRY","PC_25_64","A","2015",16.278801,
NLD,"EDUADULT","TRY","PC_25_64","A","2015",35.330765,
NZL,"EDUADULT","TRY","PC_25_64","A","2015",34.040531,
NOR,"EDUADULT","TRY","PC_25_64","A","2015",42.706734,
POL,"EDUADULT","TRY","PC_25_64","A","2015",27.747267,
PRT,"EDUADULT","TRY","PC_25_64","A","2015",22.857506,
SVK,"EDUADULT","TRY","PC_25_64","A","2015",21.149881,
ESP,"EDUADULT","TRY","PC_25_64","A","2015",35.081161,
SWE,"EDUADULT","TRY","PC_25_64","A","2015",39.786552,
CHE,"EDUADULT","TRY","PC_25_64","A","2015",39.782719,
TUR,"EDUADULT","TRY","PC_25_64","A","2015",18.020138,
GBR,"EDUADULT","TRY","PC_25_64","A","2015",44.197987,
USA,"EDUADULT","TRY","PC_25_64","A","2015",44.629398,
BRA,"EDUADULT","TRY","PC_25_64","A","2015",14.794608,
CHL,"EDUADULT","TRY","PC_25_64","A","2015",22.475199,
COL,"EDUADULT","TRY","PC_25_64","A","2015",21.562889,
EST,"EDUADULT","TRY","PC_25_64","A","2015",38.030697,
